|ItemKNNCF| iter:   163/1980 | topk: 150 | shrink:  15 | sim type: 'splus' | MAP: 0.0456 |
|ItemKNNCF| iter:   164/1980 | topk: 150 | shrink:  20 | sim type: 'splus' | MAP: 0.0471 |
|ItemKNNCF| iter:   165/1980 | topk: 150 | shrink:  25 | sim type: 'splus' | MAP: 0.0471 |
|ItemKNNCF| iter:   166/1980 | topk: 150 | shrink:  30 | sim type: 'splus' | MAP: 0.0478 |
|ItemKNNCF| iter:   167/1980 | topk: 150 | shrink:  35 | sim type: 'splus' | MAP: 0.0479 |
|ItemKNNCF| iter:   168/1980 | topk: 150 | shrink:  40 | sim type: 'splus' | MAP: 0.0480 |
|ItemKNNCF| iter:   169/1980 | topk: 150 | shrink:  45 | sim type: 'splus' | MAP: 0.0480 |
|ItemKNNCF| iter:   170/1980 | topk: 150 | shrink:  50 | sim type: 'splus' | MAP: 0.0485 |
|ItemKNNCF| iter:   171/1980 | topk: 150 | shrink:  55 | sim type: 'splus' | MAP: 0.0483 |
|ItemKNNCF| iter:   172/1980 | topk: 150 | shrink:  60 | sim type: 'splus' | MAP: 0.0481 |
|ItemKNNCF| iter:   173/1980 | topk: 150 | shrink:  65 | sim type: 'splus' | MAP: 0.0482 |
|ItemKNNCF| iter:   174/1980 | topk: 150 | shrink:  70 | sim type: 'splus' | MAP: 0.0480 |
|ItemKNNCF| iter:   175/1980 | topk: 150 | shrink:  75 | sim type: 'splus' | MAP: 0.0480 |
|ItemKNNCF| iter:   176/1980 | topk: 150 | shrink:  80 | sim type: 'splus' | MAP: 0.0482 |
|ItemKNNCF| iter:   177/1980 | topk: 150 | shrink:  85 | sim type: 'splus' | MAP: 0.0480 |
|ItemKNNCF| iter:   178/1980 | topk: 150 | shrink:  90 | sim type: 'splus' | MAP: 0.0480 |
|ItemKNNCF| iter:   179/1980 | topk: 150 | shrink:  95 | sim type: 'splus' | MAP: 0.0479 |
|ItemKNNCF| iter:   180/1980 | topk: 160 | shrink:   0 | sim type: 'splus' | MAP: 0.0214 |
|ItemKNNCF| iter:   181/1980 | topk: 160 | shrink:   5 | sim type: 'splus' | MAP: 0.0385 |
|ItemKNNCF| iter:   182/1980 | topk: 160 | shrink:  10 | sim type: 'splus' | MAP: 0.0432 |
|ItemKNNCF| iter:   183/1980 | topk: 160 | shrink:  15 | sim type: 'splus' | MAP: 0.0460 |
|ItemKNNCF| iter:   184/1980 | topk: 160 | shrink:  20 | sim type: 'splus' | MAP: 0.0475 |
|ItemKNNCF| iter:   185/1980 | topk: 160 | shrink:  25 | sim type: 'splus' | MAP: 0.0478 |
|ItemKNNCF| iter:   186/1980 | topk: 160 | shrink:  30 | sim type: 'splus' | MAP: 0.0482 |
|ItemKNNCF| iter:   187/1980 | topk: 160 | shrink:  35 | sim type: 'splus' | MAP: 0.0483 |
|ItemKNNCF| iter:   188/1980 | topk: 160 | shrink:  40 | sim type: 'splus' | MAP: 0.0484 |
|ItemKNNCF| iter:   189/1980 | topk: 160 | shrink:  45 | sim type: 'splus' | MAP: 0.0484 |
|ItemKNNCF| iter:   190/1980 | topk: 160 | shrink:  50 | sim type: 'splus' | MAP: 0.0488 |
|ItemKNNCF| iter:   191/1980 | topk: 160 | shrink:  55 | sim type: 'splus' | MAP: 0.0488 |
|ItemKNNCF| iter:   192/1980 | topk: 160 | shrink:  60 | sim type: 'splus' | MAP: 0.0486 |
|ItemKNNCF| iter:   193/1980 | topk: 160 | shrink:  65 | sim type: 'splus' | MAP: 0.0487 |
|ItemKNNCF| iter:   194/1980 | topk: 160 | shrink:  70 | sim type: 'splus' | MAP: 0.0485 |
|ItemKNNCF| iter:   195/1980 | topk: 160 | shrink:  75 | sim type: 'splus' | MAP: 0.0485 |
|ItemKNNCF| iter:   196/1980 | topk: 160 | shrink:  80 | sim type: 'splus' | MAP: 0.0486 |
|ItemKNNCF| iter:   197/1980 | topk: 160 | shrink:  85 | sim type: 'splus' | MAP: 0.0485 |
|ItemKNNCF| iter:   198/1980 | topk: 160 | shrink:  90 | sim type: 'splus' | MAP: 0.0485 |
|ItemKNNCF| iter:   199/1980 | topk: 160 | shrink:  95 | sim type: 'splus' | MAP: 0.0484 |
|ItemKNNCF| iter:   200/1980 | topk: 170 | shrink:   0 | sim type: 'splus' | MAP: 0.0220 |
|ItemKNNCF| iter:   201/1980 | topk: 170 | shrink:   5 | sim type: 'splus' | MAP: 0.0388 |
|ItemKNNCF| iter:   202/1980 | topk: 170 | shrink:  10 | sim type: 'splus' | MAP: 0.0437 |
|ItemKNNCF| iter:   203/1980 | topk: 170 | shrink:  15 | sim type: 'splus' | MAP: 0.0462 |
|ItemKNNCF| iter:   204/1980 | topk: 170 | shrink:  20 | sim type: 'splus' | MAP: 0.0477 |
|ItemKNNCF| iter:   205/1980 | topk: 170 | shrink:  25 | sim type: 'splus' | MAP: 0.0479 |
|ItemKNNCF| iter:   206/1980 | topk: 170 | shrink:  30 | sim type: 'splus' | MAP: 0.0483 |
|ItemKNNCF| iter:   207/1980 | topk: 170 | shrink:  35 | sim type: 'splus' | MAP: 0.0485 |
|ItemKNNCF| iter:   208/1980 | topk: 170 | shrink:  40 | sim type: 'splus' | MAP: 0.0486 |
|ItemKNNCF| iter:   209/1980 | topk: 170 | shrink:  45 | sim type: 'splus' | MAP: 0.0486 |
|ItemKNNCF| iter:   210/1980 | topk: 170 | shrink:  50 | sim type: 'splus' | MAP: 0.0489 |
|ItemKNNCF| iter:   211/1980 | topk: 170 | shrink:  55 | sim type: 'splus' | MAP: 0.0489 |
|ItemKNNCF| iter:   212/1980 | topk: 170 | shrink:  60 | sim type: 'splus' | MAP: 0.0487 |
|ItemKNNCF| iter:   213/1980 | topk: 170 | shrink:  65 | sim type: 'splus' | MAP: 0.0488 |
|ItemKNNCF| iter:   214/1980 | topk: 170 | shrink:  70 | sim type: 'splus' | MAP: 0.0485 |
|ItemKNNCF| iter:   215/1980 | topk: 170 | shrink:  75 | sim type: 'splus' | MAP: 0.0486 |
|ItemKNNCF| iter:   216/1980 | topk: 170 | shrink:  80 | sim type: 'splus' | MAP: 0.0487 |
|ItemKNNCF| iter:   217/1980 | topk: 170 | shrink:  85 | sim type: 'splus' | MAP: 0.0486 |
|ItemKNNCF| iter:   218/1980 | topk: 170 | shrink:  90 | sim type: 'splus' | MAP: 0.0487 |
|ItemKNNCF| iter:   219/1980 | topk: 170 | shrink:  95 | sim type: 'splus' | MAP: 0.0485 |
|ItemKNNCF| iter:   220/1980 | topk: 180 | shrink:   0 | sim type: 'splus' | MAP: 0.0222 |
|ItemKNNCF| iter:   221/1980 | topk: 180 | shrink:   5 | sim type: 'splus' | MAP: 0.0391 |
|ItemKNNCF| iter:   222/1980 | topk: 180 | shrink:  10 | sim type: 'splus' | MAP: 0.0435 |
|ItemKNNCF| iter:   223/1980 | topk: 180 | shrink:  15 | sim type: 'splus' | MAP: 0.0463 |
