| iter:   255/960 | topk: 260 | alpha: 0.600 | norm: l2 | MAP: 0.0600 |
| iter:   256/960 | topk: 260 | alpha: 0.600 | norm: l1 | MAP: 0.0589 |
| iter:   257/960 | topk: 260 | alpha: 0.600 | norm: max | MAP: 0.0596 |
| iter:   258/960 | topk: 260 | alpha: 0.620 | norm: l2 | MAP: 0.0604 |
| iter:   259/960 | topk: 260 | alpha: 0.620 | norm: l1 | MAP: 0.0592 |
| iter:   260/960 | topk: 260 | alpha: 0.620 | norm: max | MAP: 0.0599 |
| iter:   261/960 | topk: 260 | alpha: 0.640 | norm: l2 | MAP: 0.0603 |
| iter:   262/960 | topk: 260 | alpha: 0.640 | norm: l1 | MAP: 0.0590 |
| iter:   263/960 | topk: 260 | alpha: 0.640 | norm: max | MAP: 0.0597 |
| iter:   264/960 | topk: 260 | alpha: 0.660 | norm: l2 | MAP: 0.0603 |
| iter:   265/960 | topk: 260 | alpha: 0.660 | norm: l1 | MAP: 0.0593 |
| iter:   266/960 | topk: 260 | alpha: 0.660 | norm: max | MAP: 0.0597 |
| iter:   267/960 | topk: 260 | alpha: 0.680 | norm: l2 | MAP: 0.0603 |
| iter:   268/960 | topk: 260 | alpha: 0.680 | norm: l1 | MAP: 0.0591 |
| iter:   269/960 | topk: 260 | alpha: 0.680 | norm: max | MAP: 0.0597 |
| iter:   270/960 | topk: 270 | alpha: 0.500 | norm: l2 | MAP: 0.0590 |
| iter:   271/960 | topk: 270 | alpha: 0.500 | norm: l1 | MAP: 0.0582 |
| iter:   272/960 | topk: 270 | alpha: 0.500 | norm: max | MAP: 0.0588 |
| iter:   273/960 | topk: 270 | alpha: 0.520 | norm: l2 | MAP: 0.0595 |
| iter:   274/960 | topk: 270 | alpha: 0.520 | norm: l1 | MAP: 0.0583 |
| iter:   275/960 | topk: 270 | alpha: 0.520 | norm: max | MAP: 0.0590 |
| iter:   276/960 | topk: 270 | alpha: 0.540 | norm: l2 | MAP: 0.0600 |
| iter:   277/960 | topk: 270 | alpha: 0.540 | norm: l1 | MAP: 0.0584 |
| iter:   278/960 | topk: 270 | alpha: 0.540 | norm: max | MAP: 0.0592 |
| iter:   279/960 | topk: 270 | alpha: 0.560 | norm: l2 | MAP: 0.0601 |
| iter:   280/960 | topk: 270 | alpha: 0.560 | norm: l1 | MAP: 0.0585 |
| iter:   281/960 | topk: 270 | alpha: 0.560 | norm: max | MAP: 0.0594 |
| iter:   282/960 | topk: 270 | alpha: 0.580 | norm: l2 | MAP: 0.0601 |
| iter:   283/960 | topk: 270 | alpha: 0.580 | norm: l1 | MAP: 0.0586 |
| iter:   284/960 | topk: 270 | alpha: 0.580 | norm: max | MAP: 0.0593 |
| iter:   285/960 | topk: 270 | alpha: 0.600 | norm: l2 | MAP: 0.0600 |
| iter:   286/960 | topk: 270 | alpha: 0.600 | norm: l1 | MAP: 0.0590 |
| iter:   287/960 | topk: 270 | alpha: 0.600 | norm: max | MAP: 0.0595 |
| iter:   288/960 | topk: 270 | alpha: 0.620 | norm: l2 | MAP: 0.0604 |
| iter:   289/960 | topk: 270 | alpha: 0.620 | norm: l1 | MAP: 0.0592 |
| iter:   290/960 | topk: 270 | alpha: 0.620 | norm: max | MAP: 0.0599 |
| iter:   291/960 | topk: 270 | alpha: 0.640 | norm: l2 | MAP: 0.0603 |
| iter:   292/960 | topk: 270 | alpha: 0.640 | norm: l1 | MAP: 0.0590 |
| iter:   293/960 | topk: 270 | alpha: 0.640 | norm: max | MAP: 0.0598 |
| iter:   294/960 | topk: 270 | alpha: 0.660 | norm: l2 | MAP: 0.0603 |
| iter:   295/960 | topk: 270 | alpha: 0.660 | norm: l1 | MAP: 0.0592 |
| iter:   296/960 | topk: 270 | alpha: 0.660 | norm: max | MAP: 0.0597 |
| iter:   297/960 | topk: 270 | alpha: 0.680 | norm: l2 | MAP: 0.0603 |
| iter:   298/960 | topk: 270 | alpha: 0.680 | norm: l1 | MAP: 0.0592 |
| iter:   299/960 | topk: 270 | alpha: 0.680 | norm: max | MAP: 0.0597 |
