13-12-2020-01:00:35
HMR(Hsim(ItemKNNCF, ItemKNNCB),P3alpha,Hsim(UserKNNCF, UserKNNCB),Hsim(SLIM_MSE, SLIM_BPR),PureSVD,IALS)
 7.96417628e-05 5.61828956e-01] | norm: l2 | MAP: 0.0658 |
|iter:   109/2500 | vec: [0.20334997 0.04895595 0.39239386 0.0193113  0.12856408 0.20742484] | norm: l2 | MAP: 0.0666 |
|iter:   110/2500 | vec: [0.07013631 0.53472636 0.29484186 0.04360412 0.04089937 0.01579198] | norm: l2 | MAP: 0.0634 |
|iter:   111/2500 | vec: [0.1464445  0.03583133 0.13531126 0.29581802 0.36521999 0.0213749 ] | norm: l2 | MAP: 0.0601 |
|iter:   112/2500 | vec: [0.1009729  0.13507627 0.12091144 0.13570073 0.15406707 0.35327159] | norm: l2 | MAP: 0.0647 |
|iter:   113/2500 | vec: [0.12356949 0.14259419 0.16766841 0.05556892 0.33732528 0.1732737 ] | norm: l2 | MAP: 0.0609 |
|iter:   114/2500 | vec: [0.34982213 0.24312069 0.03691888 0.03916109 0.21515006 0.11582715] | norm: l2 | MAP: 0.0691 |
|iter:   115/2500 | vec: [0.0014717  0.14252605 0.07203948 0.22055844 0.19699129 0.36641304] | norm: l2 | MAP: 0.0605 |
|iter:   116/2500 | vec: [0.18572635 0.37738959 0.05177823 0.06392426 0.00943251 0.31174906] | norm: l2 | MAP: 0.0671 |
|iter:   117/2500 | vec: [0.04179765 0.19999916 0.17760591 0.41965553 0.12252972 0.03841203] | norm: l2 | MAP: 0.0610 |
|iter:   118/2500 | vec: [0.07408947 0.00755329 0.05503234 0.15250824 0.00902552 0.70179114] | norm: l2 | MAP: 0.0650 |
|iter:   119/2500 | vec: [0.12345823 0.05733226 0.28836444 0.02376349 0.0624387  0.44464288] | norm: l2 | MAP: 0.0667 |
|iter:   120/2500 | vec: [0.07320288 0.35223504 0.0225182  0.20286683 0.28637418 0.06280288] | norm: l2 | MAP: 0.0610 |
|iter:   121/2500 | vec: [0.03604378 0.07260934 0.08095608 0.01520881 0.04802972 0.74715227] | norm: l2 | MAP: 0.0638 |
|iter:   122/2500 | vec: [0.08830257 0.34907608 0.05107896 0.14028598 0.16563986 0.20561655] | norm: l2 | MAP: 0.0633 |
|iter:   123/2500 | vec: [0.15290958 0.19215543 0.14564351 0.19903645 0.26253016 0.04772486] | norm: l2 | MAP: 0.0633 |
|iter:   124/2500 | vec: [0.32291675 0.13494425 0.05522114 0.034942   0.26583982 0.18613604] | norm: l2 | MAP: 0.0681 |
|iter:   125/2500 | vec: [0.02159004 0.26058671 0.01341164 0.14608445 0.2491872  0.30913997] | norm: l2 | MAP: 0.0604 |
|iter:   126/2500 | vec: [0.03562689 0.00951283 0.17794279 0.3542082  0.33027125 0.09243804] | norm: l2 | MAP: 0.0582 |
|iter:   127/2500 | vec: [0.11726712 0.1728915  0.28149706 0.09222241 0.28400495 0.05211695] | norm: l2 | MAP: 0.0624 |
|iter:   128/2500 | vec: [0.04197881 0.05907741 0.22192907 0.36704213 0.10806    0.20191258] | norm: l2 | MAP: 0.0618 |
|iter:   129/2500 | vec: [0.04704858 0.22293167 0.17965331 0.17785534 0.06558078 0.30693032] | norm: l2 | MAP: 0.0637 |
|iter:   130/2500 | vec: [0.16256691 0.14748038 0.19796386 0.08936401 0.27915828 0.12346656] | norm: l2 | MAP: 0.0635 |
|iter:   131/2500 | vec: [0.31153582 0.07701295 0.17571124 0.03197224 0.01265144 0.39111632] | norm: l2 | MAP: 0.0715 |
|iter:   132/2500 | vec: [0.04629953 0.00467382 0.09627516 0.27048033 0.1464204  0.43585075] | norm: l2 | MAP: 0.0627 |
|iter:   133/2500 | vec: [0.54760907 0.12171765 0.05334711 0.01350696 0.06359165 0.20022755] | norm: l2 | MAP: 0.0724 |
|iter:   134/2500 | vec: [3.51561114e-01 2.48536815e-04 2.47312826e-01 2.10232313e-01
 1.70750931e-01 1.98942787e-02] | norm: l2 | MAP: 0.0680 |
|iter:   135/2500 | vec: [0.01641492 0.40032915 0.30761749 0.13853754 0.12714626 0.00995465] | norm: l2 | MAP: 0.0618 |
|iter:   136/2500 | vec: [0.34240658 0.12343609 0.24914758 0.11608791 0.04183529 0.12708654] | norm: l2 | MAP: 0.0701 |
|iter:   137/2500 | vec: [0.04691158 0.23683403 0.05745532 0.10574369 0.43565571 0.11739966] | norm: l2 | MAP: 0.0578 |
