19-12-2020-03:18:06
|UserKNNCB| iter:   240/2340 | topk: 130 | shrink:   0 | sim type: splus | MAP: 0.0519 |
|UserKNNCB| iter:   241/2340 | topk: 130 | shrink:  10 | sim type: splus | MAP: 0.0519 |
|UserKNNCB| iter:   242/2340 | topk: 130 | shrink:  20 | sim type: splus | MAP: 0.0521 |
|UserKNNCB| iter:   243/2340 | topk: 130 | shrink:  30 | sim type: splus | MAP: 0.0522 |
|UserKNNCB| iter:   244/2340 | topk: 130 | shrink:  40 | sim type: splus | MAP: 0.0517 |
|UserKNNCB| iter:   245/2340 | topk: 130 | shrink:  50 | sim type: splus | MAP: 0.0515 |
|UserKNNCB| iter:   246/2340 | topk: 130 | shrink:  60 | sim type: splus | MAP: 0.0517 |
|UserKNNCB| iter:   247/2340 | topk: 130 | shrink:  70 | sim type: splus | MAP: 0.0518 |
|UserKNNCB| iter:   248/2340 | topk: 130 | shrink:  80 | sim type: splus | MAP: 0.0523 |
|UserKNNCB| iter:   249/2340 | topk: 130 | shrink:  90 | sim type: splus | MAP: 0.0522 |
|UserKNNCB| iter:   250/2340 | topk: 130 | shrink: 100 | sim type: splus | MAP: 0.0521 |
|UserKNNCB| iter:   251/2340 | topk: 130 | shrink: 110 | sim type: splus | MAP: 0.0517 |
|UserKNNCB| iter:   252/2340 | topk: 130 | shrink: 120 | sim type: splus | MAP: 0.0520 |
|UserKNNCB| iter:   253/2340 | topk: 130 | shrink: 130 | sim type: splus | MAP: 0.0522 |
|UserKNNCB| iter:   254/2340 | topk: 130 | shrink: 140 | sim type: splus | MAP: 0.0519 |
|UserKNNCB| iter:   255/2340 | topk: 130 | shrink: 150 | sim type: splus | MAP: 0.0516 |
|UserKNNCB| iter:   256/2340 | topk: 130 | shrink: 160 | sim type: splus | MAP: 0.0516 |
|UserKNNCB| iter:   257/2340 | topk: 130 | shrink: 170 | sim type: splus | MAP: 0.0518 |
|UserKNNCB| iter:   258/2340 | topk: 130 | shrink: 180 | sim type: splus | MAP: 0.0516 |
|UserKNNCB| iter:   259/2340 | topk: 130 | shrink: 190 | sim type: splus | MAP: 0.0517 |
|UserKNNCB| iter:   260/2340 | topk: 140 | shrink:   0 | sim type: splus | MAP: 0.0517 |
|UserKNNCB| iter:   261/2340 | topk: 140 | shrink:  10 | sim type: splus | MAP: 0.0512 |
