19-12-2020-01:05:37
|UserKNNCF| iter:   156/1740 | topk:  80 | shrink: 160 | sim type: splus | MAP: 0.0562 |
|UserKNNCF| iter:   157/1740 | topk:  80 | shrink: 170 | sim type: splus | MAP: 0.0563 |
|UserKNNCF| iter:   158/1740 | topk:  80 | shrink: 180 | sim type: splus | MAP: 0.0564 |
|UserKNNCF| iter:   159/1740 | topk:  80 | shrink: 190 | sim type: splus | MAP: 0.0563 |
|UserKNNCF| iter:   160/1740 | topk:  90 | shrink:   0 | sim type: splus | MAP: 0.0509 |
|UserKNNCF| iter:   161/1740 | topk:  90 | shrink:  10 | sim type: splus | MAP: 0.0548 |
|UserKNNCF| iter:   162/1740 | topk:  90 | shrink:  20 | sim type: splus | MAP: 0.0549 |
|UserKNNCF| iter:   163/1740 | topk:  90 | shrink:  30 | sim type: splus | MAP: 0.0554 |
|UserKNNCF| iter:   164/1740 | topk:  90 | shrink:  40 | sim type: splus | MAP: 0.0557 |
|UserKNNCF| iter:   165/1740 | topk:  90 | shrink:  50 | sim type: splus | MAP: 0.0559 |
|UserKNNCF| iter:   166/1740 | topk:  90 | shrink:  60 | sim type: splus | MAP: 0.0564 |
|UserKNNCF| iter:   167/1740 | topk:  90 | shrink:  70 | sim type: splus | MAP: 0.0563 |
|UserKNNCF| iter:   168/1740 | topk:  90 | shrink:  80 | sim type: splus | MAP: 0.0563 |
|UserKNNCF| iter:   169/1740 | topk:  90 | shrink:  90 | sim type: splus | MAP: 0.0563 |
|UserKNNCF| iter:   170/1740 | topk:  90 | shrink: 100 | sim type: splus | MAP: 0.0564 |
|UserKNNCF| iter:   171/1740 | topk:  90 | shrink: 110 | sim type: splus | MAP: 0.0564 |
|UserKNNCF| iter:   172/1740 | topk:  90 | shrink: 120 | sim type: splus | MAP: 0.0564 |
|UserKNNCF| iter:   173/1740 | topk:  90 | shrink: 130 | sim type: splus | MAP: 0.0568 |
|UserKNNCF| iter:   174/1740 | topk:  90 | shrink: 140 | sim type: splus | MAP: 0.0568 |
|UserKNNCF| iter:   175/1740 | topk:  90 | shrink: 150 | sim type: splus | MAP: 0.0567 |
|UserKNNCF| iter:   176/1740 | topk:  90 | shrink: 160 | sim type: splus | MAP: 0.0566 |
|UserKNNCF| iter:   177/1740 | topk:  90 | shrink: 170 | sim type: splus | MAP: 0.0565 |
|UserKNNCF| iter:   178/1740 | topk:  90 | shrink: 180 | sim type: splus | MAP: 0.0566 |
|UserKNNCF| iter:   179/1740 | topk:  90 | shrink: 190 | sim type: splus | MAP: 0.0566 |
|UserKNNCF| iter:   180/1740 | topk: 100 | shrink:   0 | sim type: splus | MAP: 0.0510 |
|UserKNNCF| iter:   181/1740 | topk: 100 | shrink:  10 | sim type: splus | MAP: 0.0548 |
|UserKNNCF| iter:   182/1740 | topk: 100 | shrink:  20 | sim type: splus | MAP: 0.0549 |
|UserKNNCF| iter:   183/1740 | topk: 100 | shrink:  30 | sim type: splus | MAP: 0.0555 |
|UserKNNCF| iter:   184/1740 | topk: 100 | shrink:  40 | sim type: splus | MAP: 0.0558 |
|UserKNNCF| iter:   185/1740 | topk: 100 | shrink:  50 | sim type: splus | MAP: 0.0563 |
|UserKNNCF| iter:   186/1740 | topk: 100 | shrink:  60 | sim type: splus | MAP: 0.0565 |
|UserKNNCF| iter:   187/1740 | topk: 100 | shrink:  70 | sim type: splus | MAP: 0.0564 |
|UserKNNCF| iter:   188/1740 | topk: 100 | shrink:  80 | sim type: splus | MAP: 0.0565 |
|UserKNNCF| iter:   189/1740 | topk: 100 | shrink:  90 | sim type: splus | MAP: 0.0565 |
|UserKNNCF| iter:   190/1740 | topk: 100 | shrink: 100 | sim type: splus | MAP: 0.0565 |
|UserKNNCF| iter:   191/1740 | topk: 100 | shrink: 110 | sim type: splus | MAP: 0.0564 |
|UserKNNCF| iter:   192/1740 | topk: 100 | shrink: 120 | sim type: splus | MAP: 0.0566 |
|UserKNNCF| iter:   193/1740 | topk: 100 | shrink: 130 | sim type: splus | MAP: 0.0569 |
|UserKNNCF| iter:   194/1740 | topk: 100 | shrink: 140 | sim type: splus | MAP: 0.0568 |
|UserKNNCF| iter:   195/1740 | topk: 100 | shrink: 150 | sim type: splus | MAP: 0.0569 |
|UserKNNCF| iter:   196/1740 | topk: 100 | shrink: 160 | sim type: splus | MAP: 0.0567 |
|UserKNNCF| iter:   197/1740 | topk: 100 | shrink: 170 | sim type: splus | MAP: 0.0567 |
|UserKNNCF| iter:   198/1740 | topk: 100 | shrink: 180 | sim type: splus | MAP: 0.0567 |
|UserKNNCF| iter:   199/1740 | topk: 100 | shrink: 190 | sim type: splus | MAP: 0.0567 |
|UserKNNCF| iter:   200/1740 | topk: 110 | shrink:   0 | sim type: splus | MAP: 0.0512 |
|UserKNNCF| iter:   201/1740 | topk: 110 | shrink:  10 | sim type: splus | MAP: 0.0549 |
|UserKNNCF| iter:   202/1740 | topk: 110 | shrink:  20 | sim type: splus | MAP: 0.0551 |
|UserKNNCF| iter:   203/1740 | topk: 110 | shrink:  30 | sim type: splus | MAP: 0.0556 |
|UserKNNCF| iter:   204/1740 | topk: 110 | shrink:  40 | sim type: splus | MAP: 0.0558 |
